rollover_date,old_contract,new_contract,reason,old_volume,new_volume,old_open_interest,new_open_interest
2023-12-20,202312,202401,daily_max(open_interest),103200.0,51551.0,32625.0,32926.0
2024-01-17,202401,202402,daily_max(open_interest),149900.0,77593.0,39480.0,41622.0
2024-02-21,202402,202403,daily_max(open_interest),90978.0,50904.0,35772.0,37039.0
2024-03-20,202403,202404,daily_max(open_interest),134460.0,88829.0,28457.0,31328.0
2024-04-17,202404,202405,daily_max(open_interest),231918.0,96426.0,31322.0,33758.0
2024-05-15,202405,202406,daily_max(open_interest),104982.0,86902.0,38407.0,36205.0
2024-06-19,202406,202407,daily_max(open_interest),137070.0,107048.0,41205.0,32154.0
2024-07-17,202407,202408,daily_max(open_interest),201850.0,113853.0,42160.0,39230.0
2024-08-21,202408,202409,daily_max(open_interest),114605.0,56787.0,40863.0,29839.0
2024-09-18,202409,202410,daily_max(open_interest),78038.0,53879.0,30192.0,24002.0
2024-10-16,202410,202411,daily_max(open_interest),111234.0,70694.0,36991.0,26762.0
2024-11-20,202411,202412,daily_max(open_interest),140165.0,54352.0,33309.0,33020.0
2024-12-18,202412,202501,daily_max(open_interest),104341.0,60720.0,33249.0,27071.0
2025-01-15,202501,202502,daily_max(open_interest),111056.0,46602.0,28654.0,32334.0
2025-02-19,202502,202503,daily_max(open_interest),71205.0,39320.0,32303.0,27281.0
2025-03-19,202503,202504,daily_max(open_interest),94314.0,53397.0,33915.0,35802.0
2025-04-16,202504,202505,daily_max(open_interest),116439.0,61667.0,25253.0,20137.0
2025-05-21,202505,202506,daily_max(open_interest),97388.0,50372.0,24269.0,22885.0
2025-06-18,202506,202507,daily_max(open_interest),101765.0,50022.0,22692.0,20394.0
2025-07-16,202507,202508,daily_max(open_interest),112937.0,45218.0,23500.0,21818.0
2025-08-20,202508,202509,daily_max(open_interest),80493.0,82902.0,29737.0,31545.0
2025-09-17,202509,202510,daily_max(open_interest),87343.0,46250.0,29461.0,27331.0
2025-10-15,202510,202511,daily_max(open_interest),179853.0,67160.0,20510.0,24324.0
2025-11-19,202511,202512,daily_max(open_interest),166631.0,77016.0,27773.0,30642.0
2025-12-17,202512,202601,daily_max(open_interest),122119.0,56465.0,24954.0,27617.0
2026-01-21,202601,202602,daily_max(open_interest),111012.0,85640.0,26794.0,26269.0
2026-02-23,202602,202603,daily_max(open_interest),118747.0,78513.0,25892.0,22208.0
2026-03-18,202603,202604,daily_max(open_interest),111816.0,64888.0,26900.0,19162.0
2026-04-15,202604,202605,daily_max(open_interest),98834.0,57060.0,21595.0,19426.0
2026-05-20,202605,202606,daily_max(open_interest),139803.0,70232.0,21508.0,24560.0
2026-06-17,202606,202607,daily_max(open_interest),115342.0,62221.0,21379.0,24071.0
