datetime,symbol,contract_month,session,open,high,low,close,volume,open_interest
2025-02-26,TMF,202503,regular,23148,23419,23105,23419,55538,40650
2025-02-27,TMF,202503,regular,23390,23433,23126,23190,69679,38722
2025-03-03,TMF,202503,regular,22653,22795,22613,22723,62945,52354
2025-03-04,TMF,202503,regular,22249,22668,22193,22580,73173,50889
2025-03-05,TMF,202503,regular,22643,22925,22639,22895,68958,44618
2025-03-06,TMF,202503,regular,23000,23015,22706,22762,59610,50055
2025-03-07,TMF,202503,regular,22488,22684,22482,22523,53855,53119
2025-03-10,TMF,202503,regular,22468,22548,22316,22443,63180,54543
2025-03-11,TMF,202503,regular,21862,22085,21662,22025,86468,56508
2025-03-12,TMF,202503,regular,22090,22344,22046,22235,67913,53386
2025-03-13,TMF,202503,regular,22443,22475,21917,21919,87385,51751
2025-03-14,TMF,202503,regular,22120,22133,21876,21964,65883,49523
2025-03-17,TMF,202503,regular,22170,22310,22112,22155,58682,43440
2025-03-18,TMF,202503,regular,22393,22393,22191,22228,43300,35720
2025-03-19,TMF,202503,regular,22227,22245,21944,21963,35160,13257
2025-03-20,TMF,202504,regular,22238,22418,22203,22370,67017,34507
2025-03-21,TMF,202504,regular,22321,22375,22174,22179,64798,41205
2025-03-24,TMF,202504,regular,22287,22397,22126,22155,67675,42665
2025-03-25,TMF,202504,regular,22334,22443,22203,22300,74524,35604
2025-03-26,TMF,202504,regular,22399,22428,22252,22306,59811,37561
2025-03-27,TMF,202504,regular,22030,22053,21890,21970,59408,53537
2025-03-28,TMF,202504,regular,21749,21793,21484,21602,85820,58242
2025-03-31,TMF,202504,regular,20868,21063,20725,20769,97991,50360
2025-04-01,TMF,202504,regular,21023,21270,20888,21180,77127,41399
2025-04-02,TMF,202504,regular,21270,21358,21187,21302,62362,38460
2025-04-07,TMF,202504,regular,19167,19167,19167,19167,4923,35331
2025-04-08,TMF,202504,regular,18610,18753,18006,18172,135638,30146
2025-04-09,TMF,202504,regular,17861,18281,17141,17198,190724,36204
2025-04-10,TMF,202504,regular,18902,18902,18902,18902,2729,25248
2025-04-11,TMF,202504,regular,18561,19564,18443,19531,147825,20251
2025-04-14,TMF,202504,regular,19795,19981,19453,19496,116678,19213
2025-04-15,TMF,202504,regular,19583,19832,19518,19798,68204,18307
2025-04-16,TMF,202504,regular,19628,19675,19427,19547,47293,7401
2025-04-17,TMF,202505,regular,19235,19405,19114,19370,103605,26758
2025-04-18,TMF,202505,regular,19350,19430,19290,19332,59834,27131
2025-04-21,TMF,202505,regular,19347,19368,19030,19099,82479,30941
2025-04-22,TMF,202505,regular,18924,19035,18775,18799,83186,33351
2025-04-23,TMF,202505,regular,19240,19593,19172,19558,93464,29030
2025-04-24,TMF,202505,regular,19653,19684,19415,19464,74277,27440
2025-04-25,TMF,202505,regular,19980,20007,19850,19876,74446,31886
2025-04-28,TMF,202505,regular,19971,20052,19933,19965,52375,31045
2025-04-29,TMF,202505,regular,19978,20206,19962,20157,67766,32463
2025-04-30,TMF,202505,regular,20092,20266,20067,20148,70037,32068
2025-05-02,TMF,202505,regular,20472,20711,20466,20681,72290,40673
2025-05-05,TMF,202505,regular,20766,20798,20209,20406,118337,38667
2025-05-06,TMF,202505,regular,20144,20482,20144,20343,81081,39150
2025-05-07,TMF,202505,regular,20431,20555,20268,20378,89163,36999
2025-05-08,TMF,202505,regular,20476,20694,20452,20574,81853,38855
2025-05-09,TMF,202505,regular,20657,20869,20596,20848,77282,42263
2025-05-12,TMF,202505,regular,21002,21133,20978,21066,67047,40250
2025-05-13,TMF,202505,regular,21421,21519,21287,21358,66637,38150
2025-05-14,TMF,202505,regular,21677,21785,21581,21774,61440,38862
2025-05-15,TMF,202505,regular,21780,21810,21677,21694,51737,37469
2025-05-16,TMF,202505,regular,21781,21875,21681,21823,49883,37807
2025-05-19,TMF,202505,regular,21694,21748,21500,21540,65368,35940
2025-05-20,TMF,202505,regular,21784,21784,21505,21540,52712,32041
2025-05-21,TMF,202505,regular,21555,21855,21555,21851,36231,12509
2025-05-22,TMF,202506,regular,21444,21549,21398,21502,56887,27856
2025-05-23,TMF,202506,regular,21542,21638,21372,21468,65812,30311
2025-05-26,TMF,202506,regular,21439,21563,21356,21382,65097,30374
2025-05-27,TMF,202506,regular,21400,21437,21134,21229,69185,34322
2025-05-28,TMF,202506,regular,21410,21511,21151,21248,85501,35730
2025-05-29,TMF,202506,regular,21496,21615,21275,21324,91201,36126
2025-06-02,TMF,202506,regular,20969,21049,20790,20866,70979,43860
2025-06-03,TMF,202506,regular,21035,21219,20960,20972,77848,35145
2025-06-04,TMF,202506,regular,21269,21535,21260,21480,70514,36070
2025-06-05,TMF,202506,regular,21586,21676,21513,21556,55267,34499
2025-06-06,TMF,202506,regular,21582,21630,21514,21569,41635,33921
2025-06-09,TMF,202506,regular,21665,21786,21625,21727,48304,33691
2025-06-10,TMF,202506,regular,21859,22238,21855,22115,75295,36632
2025-06-11,TMF,202506,regular,22300,22355,22191,22349,54094,36482
2025-06-12,TMF,202506,regular,22321,22328,22216,22255,45058,33846
2025-06-13,TMF,202506,regular,21974,22138,21893,21940,86624,30045
2025-06-16,TMF,202506,regular,22041,22062,21869,22034,51405,32561
2025-06-17,TMF,202506,regular,22145,22259,22061,22165,54895,30628
2025-06-18,TMF,202506,regular,22100,22385,22080,22308,41397,22325
2025-06-19,TMF,202507,regular,21817,21856,21676,21703,59807,35141
2025-06-20,TMF,202507,regular,21626,21741,21470,21650,82096,35083
2025-06-23,TMF,202507,regular,21343,21482,21210,21475,80191,38208
2025-06-24,TMF,202507,regular,21763,21965,21763,21963,81732,30607
2025-06-25,TMF,202507,regular,22154,22168,22018,22160,56514,32062
2025-06-26,TMF,202507,regular,22165,22264,22079,22113,61335,34452
2025-06-27,TMF,202507,regular,22198,22220,21990,22119,66735,34215
2025-06-30,TMF,202507,regular,22231,22253,22084,22143,56210,31313
2025-07-01,TMF,202507,regular,22190,22593,22180,22351,93658,31679
2025-07-02,TMF,202507,regular,22300,22399,22210,22390,54186,36375
2025-07-03,TMF,202507,regular,22576,22715,22547,22680,58371,38454
2025-07-04,TMF,202507,regular,22750,22764,22431,22435,71517,36903
2025-07-07,TMF,202507,regular,22343,22504,22246,22333,66648,37312
2025-07-08,TMF,202507,regular,22330,22397,22143,22255,67500,34040
2025-07-09,TMF,202507,regular,22253,22473,22150,22431,66418,34363
2025-07-10,TMF,202507,regular,22476,22646,22410,22609,62026,33270
2025-07-11,TMF,202507,regular,22542,22774,22486,22767,61893,36164
2025-07-14,TMF,202507,regular,22661,22695,22521,22548,49505,38185
2025-07-15,TMF,202507,regular,22525,22881,22510,22810,63389,31429
2025-07-16,TMF,202507,regular,22850,23117,22843,23049,37325,11730
2025-07-17,TMF,202508,regular,22960,23149,22867,23147,69450,33681
2025-07-18,TMF,202508,regular,23352,23398,23230,23261,53947,33646
2025-07-21,TMF,202508,regular,23235,23300,23171,23225,41976,32652
2025-07-22,TMF,202508,regular,23250,23406,22981,22989,88941,35904
2025-07-23,TMF,202508,regular,22987,23256,22987,23188,69299,33225
2025-07-24,TMF,202508,regular,23398,23405,23230,23304,49441,32523
2025-07-25,TMF,202508,regular,23250,23327,23208,23242,41829,32786
2025-07-28,TMF,202508,regular,23368,23483,23266,23398,63397,32945
2025-07-29,TMF,202508,regular,23334,23359,23029,23165,72975,32324
2025-07-30,TMF,202508,regular,23207,23419,23200,23370,78335,32224
2025-07-31,TMF,202508,regular,23492,23622,23356,23607,76468,37379
2025-08-01,TMF,202508,regular,23150,23437,23040,23340,83281,40002
2025-08-04,TMF,202508,regular,23120,23298,23030,23257,58907,45050
2025-08-05,TMF,202508,regular,23430,23583,23420,23576,58432,44058
2025-08-06,TMF,202508,regular,23421,23483,23382,23423,45754,46113
2025-08-07,TMF,202508,regular,23624,24053,23621,24000,78479,46843
2025-08-08,TMF,202508,regular,24080,24097,23950,23953,35915,48755
2025-08-11,TMF,202508,regular,23970,24222,23833,24161,67115,46129
2025-08-12,TMF,202508,regular,24152,24239,24090,24142,49702,47181
2025-08-13,TMF,202508,regular,24305,24407,24155,24344,68229,45918
2025-08-14,TMF,202508,regular,24339,24363,24208,24250,46589,50094
2025-08-15,TMF,202508,regular,24282,24383,24188,24304,53663,49651
2025-08-18,TMF,202508,regular,24198,24462,24178,24425,53278,49546
2025-08-19,TMF,202508,regular,24383,24447,24314,24343,39321,48560
2025-08-20,TMF,202508,regular,24170,24203,23630,23636,58289,32884
2025-08-21,TMF,202509,regular,23722,23940,23690,23854,71709,35779
2025-08-22,TMF,202509,regular,23866,23980,23732,23748,63401,36753
2025-08-25,TMF,202509,regular,24123,24310,24070,24256,68645,35474
2025-08-26,TMF,202509,regular,24155,24280,24090,24259,57945,34726
2025-08-27,TMF,202509,regular,24352,24495,24333,24467,50519,37844
2025-08-28,TMF,202509,regular,24355,24419,24205,24228,68082,37887
2025-08-29,TMF,202509,regular,24401,24452,24247,24266,62720,36758
2025-09-01,TMF,202509,regular,24125,24244,23847,24010,96673,40914
2025-09-02,TMF,202509,regular,24083,24247,23882,23973,98510,39013
2025-09-03,TMF,202509,regular,23964,24081,23888,23999,69786,42117
2025-09-04,TMF,202509,regular,24187,24363,24113,24134,93021,37098
2025-09-05,TMF,202509,regular,24361,24428,24284,24419,58324,39305
2025-09-08,TMF,202509,regular,24585,24673,24518,24555,66041,40331
2025-09-09,TMF,202509,regular,24720,24837,24661,24804,60980,43832
2025-09-10,TMF,202509,regular,24970,25244,24962,25172,66250,47492
2025-09-11,TMF,202509,regular,25383,25466,25177,25235,73814,41735
2025-09-12,TMF,202509,regular,25410,25465,25350,25463,44936,38264
2025-09-15,TMF,202509,regular,25405,25449,25270,25351,50470,34456
2025-09-16,TMF,202509,regular,25421,25664,25411,25628,44913,30264
2025-09-17,TMF,202509,regular,25552,25583,25401,25434,34032,20015
2025-09-18,TMF,202510,regular,25615,25745,25490,25713,65154,39620
2025-09-19,TMF,202510,regular,25844,25853,25638,25669,62257,36579
2025-09-22,TMF,202510,regular,25749,25939,25689,25890,62522,41220
2025-09-23,TMF,202510,regular,26057,26325,26023,26269,75935,43826
2025-09-24,TMF,202510,regular,26380,26390,26073,26236,82175,41233
2025-09-25,TMF,202510,regular,26180,26280,26089,26102,60484,42464
2025-09-26,TMF,202510,regular,25952,25989,25500,25661,118333,44595
